D-R10,D-K07,"BE 6/2, 23; Si 4/10/21",House and 40-sar garden portion,Narubtum daughter of Migir-Enlil,Allocated property claim,Not stated / not independently established,Inheritance division,Counterparty Ur-Pabilsagga in adoption/inheritance arrangement,None demonstrated,Allotment recorded,Full genealogy and house area not independently resolved,"S01, pp. 20–22",D-C05
D-R11,D-K07,"BE 6/2, 23; Si 4/10/21",Enslaved Ali-aḫuša and Iškur-rīm-ilī,Narubtum is recipient in the document,Persons allocated as property,Their actual residence/work is not stated,Inheritance allocation,Included in the same estate division,None demonstrated,Allocation recorded,"Their agency, consent, and daily treatment are not recoverable here","S01, pp. 20–22",D-C05
D-R12,D-K07,"BE 6/2, 23; Si 4/10/21",House/garden and compensating field,Ur-Pabilsagga,Allocated property claim and balancing field,Not stated / not independently established,Inheritance division,Adopted-heir context,None demonstrated,Allotment recorded,No monetary conversion or uniform proportion inferred,"S01, pp. 20–22",D-C05
D-R13,D-K07,"BE 6/2, 23; Si 4/10/21",Enslaved Dumqi-Ištar and Taribum,Ur-Pabilsagga is recipient in the document,Persons allocated as property,Their actual residence/work is not stated,Inheritance allocation,Included in estate arrangement,None demonstrated,Allocation recorded,"Name Taribum is not equated to borrower in PBS 8/2, 130","S01, pp. 20–22",D-C05
D-R14,D-K08,"BE 6/2, 26; Si 6/06/14",Doors and other wooden/household items,"Ur-Duazagga, Ur-DUN-PA-ea, Enlil-lušag, Nannar-ara-mungien, as named heirs",Item-specific allocations and balancing valuations,Not stated / not independently established,Inheritance division,Four heirs,None demonstrated,Allocations recorded,Some object and personal-name readings remain those of the early edition,"S01, pp. 23–24",D-C05
D-R15,D-K08,"BE 6/2, 26; Si 6/06/14",Grain/date-related portions and entitlements,The same named heirs,"Resource-specific portions, not one undifferentiated cash pool",Not stated / not independently established,Inheritance division,Four heirs,Office/resource associations need closer re-edition,Distribution clauses recorded,Do not infer annual realized household income,"S01, pp. 23–24",D-C05
D-R16,D-K08,"BE 6/2, 26; Si 6/06/14",Enslaved woman Ištar-nahrari (edition reading),Named heirs; exact recipient not reasserted here,Valued person included in balancing division,Not stated,Inheritance allocation / valuation,Estate context,None demonstrated,"Documented valuation, not a surveyed market price",No universal price or social-status inference,"S01, pp. 23–24",D-C05
D-R17,D-K14,"BE 6/2, 39; Si 12/05/15","Kusu-linked office bundle, two months/year",Ilušu-bāni → Enlil-lušag,Transferable timed office entitlements,Actual performer unknown,Exchange,No kin relationship assumed,Kusu-linked office,Conveyance recorded,"Service, receipts, and temple property must be distinguished","S01, pp. 15–16",D-C06
D-R18,D-K14,"BE 6/2, 39; Si 12/05/15",Countervailing field and silver,Enlil-lušag → Ilušu-bāni,Field transfer and balancing consideration,Actual cultivator unknown,Exchange against office entitlement,No kin relationship assumed,Office transaction provides context,Exchange recorded,Do not treat consideration as a market-wide office price,"S01, pp. 15–16",D-C06
D-R19,D-K15,"BE 6/2, 40; Si 13/01/28",19-shekel marriage contribution and contingent silver obligations,Ama-sukkal; Enlil-idzu,"Contributed silver; conditional restitution, forfeiture, and payment",Actual controller after contribution unknown,Marriage contribution / prospective dissolution clauses,Wife and husband,Enlil-idzu described as Enlil priest; not a temple loan,Contribution recorded; dissolution consequences conditional,No observed divorce or payment,"S01, p. 35",D-C08
D-R20,D-K19,"BE 6/2, 48; Si 18/04/01",Estate interests and Naramtum’s maintenance,"Awīlīja; Naramtum; Ibi-Enlil, Ilušu-ibnīšu, Ilima-abi",Inheritance entitlement tied to recognized family relation and support,Not stated / not independently established,Marriage/adoption arrangement with future division,Sons assigned filial relation to wife; eldest share reserved,No lender identified,Support and loss-of-right clauses stipulated,No observed sanction or automatic identity match with other same names,"S01, pp. 35–38",D-C04; D-C09
D-R21,D-K23,"PBS 8/2, 116; RS 50/02","Annual barley, oil, wool","Bēltani beneficiary; Iddin-Šamaš, Ubar-Šamaš, Ṣilli-Šamaš, Ninurta-gamil obligated",Maintenance claim linked to brothers’ inheritance,Bēltani is named beneficiary; residence unstated,Maintenance undertaking,"Sister and four brothers, heirs of Enlil-rabi",Bēltani is nadītu of Ninurta; no temple lender,Future installments and nonperformance consequence specified,No receipt or enforcement record,"S02, obv. 1–12",D-C09
D-R22,D-K23,"PBS 8/2, 116; RS 50/02",Heirs’ fields and paternal estate claims,The same brothers; Bēltani protected during lifetime,Alienation triggers specified forfeiture,Not stated / not independently established,Conditional limitation within maintenance agreement,Sibling support backed by estate consequences,Religious status not equated with temple ownership,Penalty hypothetical unless condition occurs,Not a citywide prohibition on family-land sales,"S02, obv. 13–rev. 5",D-C10
D-R23,D-K04,"BE 6/2, 15; H 38b/12/16 (old attribution)",12 gur grain and harvest claim,Ibqu-erṣetim creditor; Ziyatum and Ibi-Ninšah recipients,Advance with not-bearing-interest wording,Actual grain use unknown,Loan,No kin relation between recipients established,Private named creditor; repayment place Nippur karum,Receipt of advance recorded; return future,Zero total borrowing cost and collateral status not established,"S01, pp. 40–41",D-C11; D-C13
D-R24,D-K05,"BE 6/2, 16; H 39/06 (old attribution), Nippur(?)",Grain principal and 15-shekel silver interest,Ninurta-mansi creditor; Ḫabanatum and Damu-[…] recipients,Named joint receipt and harvest obligation,Actual resource use unknown,Loan,Parent and son explicitly related; sex of parent not inferred here,Private named creditor,Advance recorded; settlement future,Provenance uncertain; principal omitted; no unnamed-kin liability,"S01, p. 40; catalogue p. 147",D-C12; D-C13
D-R25,D-K24,"PBS 8/2, 130; Si 10/05/20(?)",1 shekel 15 grains silver; barley plus interest due,Ilšu-ibnīšu creditor; Taribum debtor,Interest-bearing advance with return in another medium,Purpose/use unknown,Loan,No kin relation established,Named private creditor; witnesses are not automatically guarantors,Advance recorded; harvest return future,"No interest or conversion rate, collateral, or repayment event stated","S03, obv. 1–8",D-C11; D-C12; D-C15
D-R26,D-K06,"BE 6/2, 21; Si 4/06/22",Bricks and corresponding return claim,Nabi-Šamaš creditor; Igi-Nanna-Šu-algin recipient,Receipt and later equivalent return,Construction use not expressly established,Brick advance,No kin relationship established,No institutional role assumed,Receipt recorded; replacement future,Nabi-Šamaš not merged across documents solely by name,"S01, p. 41",D-C12
D-R27,D-K09,"BE 6/2, 29; Si 11/03",4 gan field and one-third yield share,Ibgatum lessor; Damu-iddinam cultivator/lessee,Cultivation under annual yield-share rent terms; precise duration not established,Damu-iddinam contractually assigned cultivation; actual work unobserved,Lease,No kin or co-residence relation established,No lender identified,Grant recorded; harvest/rent prospective,No actual harvest or permanent sale; yearly rent is not proof of one-year duration,"S01, pp. 43–44",D-C14
D-R28,D-K20,"BE 6/2, 51; Si 20/03/21",Labor service and grain remuneration,Nabi-Šamaš contracts; Iddin-Ištar supplies labor; Lu-Sîn-si-anna hires,Time-bounded labor/compensation agreement,Iddin-Ištar named as worker; residence unstated,Hire,Father and son,No creditor assumed,Service/remuneration stipulated,"Recipient/control of all resulting income, age, consent, status not inferred","S01, p. 43",D-C25
D-R29,D-K22,"BE 6/2, 65; Old Babylonian",3 shekels house purchase money,Kišti-Ninurta receives from Balilum and Sîn-malik,Acknowledged receipt,Not applicable,Purchase-price payment,No kin relation assumed,Not a loan discharge,Receipt recorded,Different evidence from prospective repayment; underlying house deed not reconstructed,"S01, pp. 44–45",D-C15
D-R30,D-K01,"BE 6/2, 10; Hammurabi reign",House/plot compensation,Mar-erṣetim and Mutum-ilum receive from Iškur-RUSHra and Ibgatum (edition readings),Property claim established through recorded settlement,Occupants unstated,Adjudication and agreed conveyance,Two sets of brothers/heirs; earlier fathers’ transaction involved,Nippur council; Ninlil office context,"Appeal, decision, and conveyance narrated as completed",No established loan foreclosure; precise built/unbuilt equivalent uncertain,"S01, pp. 46–48",D-C16
D-R31,D-K16,"BE 6/2, 42; Si 13/12",Office/inheritance title documents,Sîn-abūšu formerly; Nannartum intermediary; Aba-Enlil-dim recipient,Receipt of titles and responsibility for later claims,No residence inference,Title-document transmission,Sîn-abūšu’s death is relevant; wider kin relation unproven,Priestly witnesses; temple disposal is Poebel’s hypothesis,Receipt completed; response to future claims prospective,Not automatically an executed loan guarantee or temple sale,"S01, pp. 45–46",D-C17
D-R32,D-K21,"BE 6/2, 64; Si 29/02/20",Paternal house plot,"Ninurta-rāʾim-zērim repurchases from Ninurta-muballiṭ, Iddin-Ištar, Narubtum",Restored acquisition claim through repurchase,Residence unstated,Repurchase,"Buyer invokes paternal property; sellers brother, son, wife of deceased Mannum",No debt/pledge demonstrated,Repurchase recorded,"Earlier BE 6/2, 38 parcel match disputed; full redemption doctrine not demonstrated","S01, pp. 12–14; S04–S05",D-C18; D-C23
D-R33,D-K25,"OECT 8, 4; waiver H 31/05; earlier gift undated here",House portion given earlier,Nanna-meša donor; Nin-kuzu daughter/beneficiary; later family claimants,Gift recalled in later waiver and compensation context,Occupancy unverified,"Gift, then later claim/waiver","Father, daughter, and descendants",No lender shown,"Retrospective legal record, mediated by scholarship",Not the gift deed; primary text not directly checked,"S05, pp. 9–13; S13 unconsulted",D-C19
D-R34,D-K26,"OECT 8, 11 = MC 3, 31; Si 10/09/03",Monthly Enlil/Ninlil prebend as compensation,Mannum-mēšu-liṣṣur claimant; Ibbi-Enlil’s sons implicated,Compensation for prior subsistence provision,Actual office performer unknown,"Judicial award, as reported",Obligation affects recipient’s heirs in this case,Enlil/Ninlil prebend; not a modern bank debt,Adjudicated outcome reported by specialist,Primary not checked; exact source of obligation and family link remain bounded,S05; S12–S13 unconsulted originals,D-C20
D-R35,D-K27,"SAOC 44, 2; Enlil-bāni Q (reported)",7-shekel loan naming Sîn,Sîn named source; Šeškalla son of Enlil-amah borrower,Reported interest-bearing obligation,Reported TA fill does not identify user/resident,Loan,No kin connection checked,Divine name; organizational mechanism uncertain,Loan report; no verified payment/default,Indexed excerpt only; 20% period unverified; TA 230 XIIB House M fill,"S08, indexed pp. 48–49; S07 not read",D-C21
D-R36,D-K28,"SAOC 44, 3; Sîn-iddinam 7 (reported)","1 shekel, silver of gate of Ninurta",Gudku daughter of Nanna-manšum; Šešaldu son of Ibiya,Reported no-interest loan,Reported TA fill does not identify user/resident,Loan,No kin connection checked,Temple-linked description; Gudku’s official status unproved,Loan report; no verified payment/default,Indexed excerpt only; TA 205 XIIB fill; not a temple-bank balance sheet,"S08, indexed pp. 48–49; S07 not read",D-C21
D-R37,D-K29,"SAOC 44, 67; Rīm-Sîn 8 (reported)",1-shekel loan naming Sîn,Sîn named source; Anne-babdu borrower,Reported interest-bearing obligation,Reported disturbed TB context does not identify resident,Loan,No kin connection checked,Divine name; institutional operation unresolved,Loan report; no verified payment/default,Indexed excerpt only; 20% period unverified; TB 30 I-3 disturbed,"S08, indexed pp. 48–49; S07 not read",D-C21
