Source_ID,Short_citation,Full_citation,Source_type,Scope_provenance,URL,Access_status,Notes,Accessed
S11,Meinhold 2019,"Meinhold, Wiebke. 2019. “Prebends and Prebendaries in Old Babylonian Nippur.” Journal of Ancient Near Eastern Religions 19: 55–70. DOI: 10.1163/15692124-12341304.",Original research,Nippur institutional rights,https://doi.org/10.1163/15692124-12341304,ABSTRACT ONLY,"Discovery lead. No detailed claim about actual service, revenue, or institutional administration rests on this unread article.",2026-09-19
S12,Jallet-Martini 2025,"Jallet-Martini, Jules. 2025. “The Precarious Inheritance Rights of Adopted Slaves During the Old Babylonian Period.” Journal of Ancient Near Eastern History 12(1). DOI: 10.1515/janeh-2024-0014.",Original research,Old Babylonian adopted enslaved persons; local coverage not independently checked,https://doi.org/10.1515/janeh-2024-0014,ABSTRACT ONLY,"Follow-up lead, not evidence that adopted enslaved heirs are established in the Nippur sample. Page range not verified.",2026-09-19
S13,Hunter 1930 / OECT 8,"Hunter, Guy R. 1930. Sumerian Contracts from Nippur. Oxford Editions of Cuneiform Texts 8. London: Oxford University Press.",Primary edition,Nippur legal texts in the Ashmolean Museum,https://cdli.earth/artifacts/283648,PARTIAL — individual updated digital texts read; complete volume not read,See D01–D04 and D07–D09 for exact text numbers and museum identifiers. Ancient texts paraphrased; no claim to a fresh reading of original tablets.,2026-09-19
S14,Poebel 1909 / BE 6/2,"Poebel, Arno. 1909. Babylonian Legal and Business Documents from the Time of the First Dynasty of Babylon, Chiefly from Nippur. The Babylonian Expedition of the University of Pennsylvania, Series A: Cuneiform Texts 6/2. Philadelphia: University of Pennsylvania, Department of Archaeology.",Primary edition,Nippur estate division and conveyances,https://cdli.earth/artifacts/283606,PARTIAL — individual digital text records read; complete volume not read,D10 is catalogue-only; D11 and D15 include text. Digital translations and dates require comparison with newer editions.,2026-09-19
S15,"Çığ, Kızılyay and Kraus 1952 / ARN","Çığ, Muazzez İlmiye, Hatice Kızılyay, and Fritz R. Kraus. 1952. Eski Babil Zamanına Ait Nippur Hukukî Vesikaları = Altbabylonische Rechtsurkunden aus Nippur. Istanbul: Millî Eğitim Basımevi.",Primary edition,Istanbul Nippur legal tablets,https://cdli.earth/artifacts/313161,CATALOGUE/INDIRECT ONLY for the ARN items retained here,Specific identifiers checked; underlying texts of these ARN leads not independently read. Do not count as directly verified legal acts.,2026-09-19
S16,Gadotti and Sigrist 2011 / CUSAS 15,"Gadotti, Alhena, and Marcel Sigrist. 2011. Cuneiform Texts in the Carl A. Kroch Library, Cornell University. Cornell University Studies in Assyriology and Sumerology 15. Bethesda, MD: CDL Press.",Primary edition,Cornell tablets including RMC 004 and 023,https://cdli.earth/artifacts/270638,PARTIAL — parallel edition identifiers; selected digital texts and later re-edition,"CUSAS 15, 4 = D05; CUSAS 15, 23 = D06. Full book not read; re-publications are not additional ancient events.",2026-09-19
S17,CDLI artifact editions,"Cuneiform Digital Library Initiative. Artifact metadata, editorial transliterations and, where supplied, translations for the P-numbers in the document ledger. Accessed 19 September 2026.",Digital primary-text editions and object catalogue,Individual provenance and access vary by object,https://cdli.earth,DIRECT — item-specific access recorded at D01–D27,"Seventeen textual artifacts, representing fifteen distinct legal acts after deduplication; two acts have explicitly uncertain Nippur provenance and are supplementary. Metadata-only records excluded; general labels do not override date formulae or displayed language.",2026-09-19
S18,Van De Mieroop review,"Van De Mieroop, Marc. Review of Stone and Owen, Adoption in Old Babylonian Nippur. Journal of Cuneiform Studies 43–45 (1991–1993): 124–130. DOI: 10.2307/1359852.",Scholarly review,Historiography of Nippur adoption,https://doi.org/10.2307/1359852,NOT READ — bibliographic lead,Identified but not used to attribute detailed positions or establish ancient facts.,2026-09-19
S19,Charpin 1994 review,"Charpin, Dominique. 1994. Review of Stone and Owen, Adoption in Old Babylonian Nippur. Journal of the American Oriental Society 114(1): 94–96. DOI: 10.2307/604963.",Scholarly review,Historiography of Nippur adoption,https://doi.org/10.2307/604963,NOT READ — bibliographic lead,Identified but not used as an independently consulted source for a family reconstruction.,2026-09-19
S20,Van Dijk 1967 / TIM 4,"Van Dijk, Johannes J. A. 1967. Old Babylonian Contracts and Juridical Texts. Texts in the Iraq Museum 4. Wiesbaden: Otto Harrassowitz.",Primary edition,Two Nippur-attributed texts; detailed catalogue provenance marked uncertain,https://cdli.earth/artifacts/223276,PARTIAL — digital texts 13 and 14 read; complete volume not read,"Supplementary corroboration, not securely excavated local examples. General header must not override detailed uncertainty field.",2026-09-19
