Document_ID,Event_group,Case,Publication_identifiers,CDLI_ID,Museum_number,Date,Genre,Language,Access_status,Nippur_context,Locator,Direct_evidence_or_indirect_report,Limits_and_issues,Edition_sources,URL,Accessed
D11,E10,A,"BE 6/2, 64 = MC 3, 52",P283606,Ist Ni 00174,Samsu-iluna 29/02/20 in edition-based sequence; catalogue leaves year uncertain,Sale/redemption of earlier family property,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration and supplied translation,Nippur attribution; precise excavated house/locus not established in the consulted record,obv. 1–12; rev. sale/waiver; upper edge date,"Ninurta-rāʾim-zērim reacquires paternal property from Ninurta-muballiṭ, Iddin-Ištar and Narubtum; earlier Mannum purchase recalled.",Mannum’s death and vendors’ capacities are inferred; this Narubtum not identified with D14’s namesake; modern translation’s month rendering inconsistent.,S14; S05; S01; S02,https://cdli.earth/artifacts/283606,2026-09-19
D12,E11,B,"TMH 10, 6",P504399,HS 2213,"Rīm-Sîn 43, month 8",Adoption and asset/support agreement,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur/Jena dossier; no precise house/locus established,"obv. 1–20; rev. 1–11, 18–19","Narāmtum, nadītu of Lugal-aba and daughter of Lu-Nanna, adopts Ur-Pabilsaga, son of Ubārum; paternal gift property and lifetime grain/oil/wool support.",Some personal-status/relationship labels damaged; support amounts unspecified; no proof of performance or universal nadītu practice.,S06; S04; S03,https://cdli.earth/artifacts/504399,2026-09-19
D13,E12,B,ARN 41,P313161,Ist Ni 01923,"Rīm-Sîn 53, month 8, reported in scholarship",Earlier estate partition,Not independently checked,CATALOGUE — date/content indirect through S03/S04,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue; S03 family reconstruction; S04 p. 251,Earlier partition in Narāmtum dossier reported by specialists.,"No text independently read; Ni 1923 verified in catalogue, not Ni 1924. Not an independently verified middle episode.",S15; S03; S04,https://cdli.earth/artifacts/313161,2026-09-19
D14,E13,B,"TMH 10, 18a",P504411,HS 2074,Samsu-iluna 4/10/21,Estate division with retrospective adoption clause,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur/Jena dossier; no house/locus established,"obv. 1–18; rev. 1–7, 18–19; seals",Separate allocations to Narubtum and Ur-Pabilsaga; estate of Narāmtum; adoption invoked as title history.,"D15 and D16 belong to the same legal act; legal division not proof of co-residence, survivorship or physical rebuilding.",S06; S03; S04,https://cdli.earth/artifacts/504411,2026-09-19
D15,E13,B,"BE 6/2, 23 = TMH 10, 18b",P453321,Ist Ni 01917,Samsu-iluna 4/10/21,Parallel estate division,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration and supplied Italian translation,Nippur attribution; precise excavated house/locus not established in the consulted record,allocations; rev. 1–7; date,"Parallel witness to D14’s estate partition, parties and filiation.",A duplicate is not independent social replication. Older one-third reading conflicts with newer all-property reading.,S14; S06; S03; S04,https://cdli.earth/artifacts/453321,2026-09-19
D16,E13,B,"TMH 10, 18c; formerly ARN 76 with joined envelope fragments",P313194,HS 2132 + 2154 + 2361 + 2870 + 2884 (join per Földi),Samsu-iluna 4/10/21 by association,Envelope to partition,Not independently checked,INDIRECT — join/collation read in S04,Nippur/Jena; relation to D14 secured editorially through seal impressions,S04 p. 253,Földi joins envelope fragments and associates them with 18a.,No independent envelope text reading in this return; translation correction about mutual consent is witness-specific.,S04; S06,https://cdli.earth/artifacts/313194,2026-09-19
D17,LEAD01,B,"TMH 10, 24",P512571,HS 2234,Undated in consulted catalogue,Property gift (reported),Not independently checked,CATALOGUE — content indirect,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue; S03 discussion,Reported gift of an enslaved girl within Narāmtum’s family.,Not incorporated as a verified event; text not accessible in consulted record.,S06; S03,https://cdli.earth/artifacts/512571,2026-09-19
D18,E14,C,"SAOC 44, 24",P224339,IM 058783; excavation 3N-T0873,Old Babylonian; date broken,Judicial termination of adoptive heirship,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — revised digital transliteration,"Excavated Nippur; excavation number known, exact house/locus not established here",obv. 1–16; obv. 17–rev. 3; seal 1,Ilī-u-Šamaš’s rejection of Amurrum-šēmi; twenty-year relationship reported; judges direct termination and no-claim instrument.,"Broken narrative; no independent absolute date, age, widow-debt cause, or post-judgment residence established.",S08; S07; S17,https://cdli.earth/artifacts/224339,2026-09-19
D19,LEAD02,C,ARN 81,P313199,Ist Ni 00289,"Samsu-iluna 6, reported in S07 excerpts",Loan (reported),Not independently checked,CATALOGUE — narrative indirect,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue; S07 indexed discussion,Possible loan involving Ilī-u-Šamaš’s mother identified in later research.,"Identification, kin relation and connection to adoption unverified here; not evidence adoption was caused by debt.",S15; S07,https://cdli.earth/artifacts/313199,2026-09-19
D20,LEAD03,B,"TMH 10, 15",P504408,HS 2400,Rīm-Sîn 4 in catalogue; Rīm-Sîn 2 in Földi collation,Legal text,Not independently checked,CATALOGUE; dating correction directly read in S04,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue; S04 p. 253,Concrete discrepancy between catalogue date and specialist re-reading.,Not used in family chronology; contents not independently read.,S06; S04,https://cdli.earth/artifacts/504408,2026-09-19
D21,LEAD04,B,ARN 112,P313228,Not independently retained,Old Babylonian; exact date not checked,Legal text,Not independently checked,CATALOGUE ONLY,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue,Archive-extension lead only.,No substantive claim rests on it.,S15,https://cdli.earth/artifacts/313228,2026-09-19
D22,LEAD05,B,ARN 113,P313229,Ist Ni 02164,Old Babylonian; exact date not checked,Legal text,Not independently checked,CATALOGUE ONLY,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue,Archive-extension lead only.,No substantive claim rests on it.,S15,https://cdli.earth/artifacts/313229,2026-09-19
D23,LEAD06,B,ARN 118,P313234,Ist Ni 09266,Old Babylonian; exact date not checked,Legal text,Not independently checked,CATALOGUE ONLY,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue,Archive-extension lead only.,No substantive claim rests on it.,S15,https://cdli.earth/artifacts/313234,2026-09-19
D24,LEAD07,B,ARN 120,P313236,Ist Ni 09270,Old Babylonian; exact date not checked,Legal dispute (reported),Not independently checked,CATALOGUE — content indirect through S03,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue; S03 p. 26 n. 109,Potential kin/sale dispute relevant to Ur-Pabilsaga.,Not counted as a directly read dispute; no independent event narrative reconstructed.,S15; S03,https://cdli.earth/artifacts/313236,2026-09-19
D25,E15,A,"OECT 8, 19 = MC 3, 29",P283646,Ashm 1926-0382,Rīm-Sîn II 3/10/25; equated with Samsu-iluna 9 in S01,Estate partition of institutional rights,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,obv. 1–14; rev. 1–14; seals,"Ninurta-muštāl, Namāršu-lūmur and Munawwirum receive fractions of recurring institutional rights.","Digital father-name reading Ibni-Enlil differs from Ibbī-Enlil in D08; linkage follows matching heirs and S01, not silent name normalization.",S13; S05; S01,https://cdli.earth/artifacts/283646,2026-09-19
D26,E16,Supplementary,"TIM 4, 13 = MC 3, 1",P223276,IM 010891,"Enlil-bāni d, month 3",Adoption/heirship with support and reserved lifetime benefit,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,"Nippur attribution explicitly uncertain in detailed catalogue; supplementary, not secure findspot",obv. 1–13; rev. 1–13; date,Earlier provision by Nanna-amaḫ is recalled; Ipiq-Enlil grants heirship/rights; prospective support and lifetime benefit reservation.,Do not convert the instrument into proof of later actual payments; exact original motive and local provenience unresolved.,S20; S05,https://cdli.earth/artifacts/223276,2026-09-19
D27,E17,Supplementary,"TIM 4, 14 = MC 3, 3",P223277,IM 010893,"Rīm-Sîn I, second year after Isin conquest, month 12; year number not forced",Adoption with reciprocal repudiation clauses,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution explicitly uncertain in detailed catalogue; supplementary,obv. 4–15; rev. 15,"Repudiation clauses use one-third mina, unlike the half-mina amount in D09.",Opening relationships and seal filiation need reconciliation; daughter Aḫasunu named but not treated here as an adopted daughter.,S20; S05,https://cdli.earth/artifacts/223277,2026-09-19
