local_claim_id,claim,period_date,nippur_context,evidence_type,primary_evidence,secondary_interpretation,counterevidence_disagreement,confidence,generalization_limit,project_relevance,design_status
B-C11,Stone’s account of ARN 29 connects a nadītu woman’s property/support arrangements to several natal relatives.,Old Babylonian; exact date unverified here,"Bēltani dossier, Nippur",Secondary,D06; ARN 29 not directly re-edited here,"S04 pp. 57–59 identifies aunt-, father- and brother-related transfers/obligations.",Dates and precise clauses need checking in S15; connection with D05 is a scholarly reconstruction.,MODERATE,No automatic inference of a single joint estate or common dwelling.,Natal ties need not be replaced by one later affiliation.,NO DESIGN DECISION
B-C12,Stone reports a brother’s intervention in a dispute over Lamasum’s maintenance.,Old Babylonian; exact date unverified here,"ARN 101, Nippur attribution",Secondary,D07; primary text reached through S04,S04 pp. 60–61 describes arrears and a support provider distinct from the brother.,"Procedural capacity, terms and outcome require primary verification.",MODERATE,One reported dispute; not universal male guardianship.,"Kinship, provision and legal representation need not coincide.",NO DESIGN DECISION
B-C13,SAOC 44 1 combines marriage with affiliation of the wife’s three children; Stol identifies the wife as a widow.,Rīm-Sîn 30/7; c. 1793 BCE,TA 180 XI foundation; IM 58763; P224324,Mixed,D10; S02 p. 215; S11 concordance to MC 3 14,S06 p. 145 n. 67 identifies widowhood/remarriage and brothers as witnesses.,"Widowhood remains mediated; child ages, prior residence and actual relocation not established.",MODERATE,"Specific relationship reconstitution, not the normal fate of widows.",A marital transition can also alter children’s legal relationships.,NO DESIGN DECISION
B-C14,SAOC 44 40 is catalogued as litigation about support of a boy(?) by Ipquga(?).,Undated Old Babylonian context,TA 174 XI-1; IM 58388,Mixed,D15; S02 Appendix IV p. 218 and personal-name index,Catalogue identifies a child-support question; index adds uncertainty.,"No securely identified guardian, orphan status, age threshold or custody rule.",LOW,Catalogue-level identification; both question marks retained.,Children’s needs are visible without inventing a complete guardianship system.,NO DESIGN DECISION
B-C15,The SAOC 44 44/46/47 sequence records joint property acquisition followed by one partner’s share purchase.,Samsu-iluna 16–18; c. 1734–1732 BCE,TA 178/185 XA-1; Houses I/H reconstruction,Mixed,D16–D18; S02 Appendix IV p. 218,S02 pp. 65–68 identifies the partners as brothers and relates documents to houses.,Legal shares do not prove former or later co-residence; architectural allocations remain reconstructed.,MODERATE,"These property acts, not a documented census-level household split.","Property division is relevant to, but not identical with, residential separation.",NO DESIGN DECISION
B-C16,SAOC 44 25 associates Asirum’s residence with a house whose purchase involved several contributors.,Samsu-iluna 7/3; c. 1743 BCE,TA 174 XI-2; House N assemblage,Mixed,"D11; S02 pp. 63, 217 and index s.v. Asirum",Stone proposes an occupancy-preservation reading; a debt arrangement is an alternative.,Number of contributors differs internally; their full kin relations and residence are unproved.,MODERATE,Asirum’s reported residence does not make every contributor an occupant.,"Co-residence, financing, ownership and kinship must be assessed separately.",NO DESIGN DECISION
B-C17,SAOC 44 31 preserves an inherited house interest outside Nippur in a Nippur find context.,Samsu-iluna 10/10/12; c. 1740 BCE,TA 174 XI-2; property at Iahalpilum,Mixed,D12; S02 Appendix IV p. 217,S02 p. 63 discusses wider affiliations of this assemblage.,"A distant asset does not demonstrate migration, ethnicity or a household’s relocation.",MODERATE,Specified property connection only.,Legal associations can extend beyond the site where documents survive.,NO DESIGN DECISION
B-C18,SAOC 44 50 records a time-limited house rental rather than an ownership transfer.,Samsu-iluna 8/5/6; c. 1742 BCE,TA 185 XA-1; A30137,Mixed,D19; S02 Appendix IV p. 218,No additional residential reconstruction adopted.,Contracted access is not proof of actual occupancy or all occupants’ identities.,MODERATE,One rental; tenant household size and kin composition unknown.,Residence-related access need not entail ownership.,NO DESIGN DECISION
B-C19,"SAOC 44 53 records manumission, but its catalogue does not establish a residential departure.",Rīm-Sîn 51/8; c. 1772 BCE,TA 179 XA-1; IM 58756,Mixed,D20; S02 Appendix IV p. 218,No broader dependency classification imported.,Freedom/status change is not automatically exit from a dwelling or all prior ties.,MODERATE,Recorded legal act; post-release residence and service unknown.,Legal status transitions and household association can diverge.,NO DESIGN DECISION
B-C20,The examined Nippur evidence does not establish a universal nadītu residence or reproductive regime.,"Old Babylonian, selected cases",Nippur institutional and family dossiers,Secondary,"D05; D08–D09 are cautionary leads, not newly collated counterexamples","S04 p. 56 discusses residential terminology, identity and parenthood ambiguities.",Male ownership near nadītu housing does not prove male occupancy; a son label need not mean biological birth.,LOW,"This is a limit of the examined evidence, not proof that no restrictions existed.",A religious designation cannot alone determine all personal relationships.,NO DESIGN DECISION
B-C21,Stone’s proposed close-kin marriage pattern rests on sparse reconstructed cases.,"Old Babylonian, uneven archive coverage",Nippur family reconstructions,Secondary,No representative marriage sample established; see D21 for one reconstructed network,S02 pp. 15–19 advances an endogamy interpretation with limited examples.,Adoptive and biological relatedness must not be collapsed; no frequency denominator.,LOW,Evidence does not establish routine citywide cousin marriage.,Observed or reconstructed kin links must not become demographic defaults.,NO DESIGN DECISION
B-C22,"A recent Ur-Pabilsaĝa reconstruction links marriage, adoption and transactions across more than one family grouping.",Author’s span c. 1784–1739 BCE,Nippur Ur-Pabilsaĝa-related dossier,Secondary,D21; component records not all reread in this project,"S14 pp. 1–4, fig. 1; Alī-aḫātī’s remarriage is part of the reconstruction.",Chronological reorderings are contested; figure labels are modern analytical groupings.,MODERATE,"Not a complete genealogy, household census or independent replication of every link.",People can participate in several family relationships simultaneously.,NO DESIGN DECISION
B-C23,"The find context of SAOC 44 1 is a foundation context, not a directly observed occupancy roster.",Text Rīm-Sîn 30/7; deposition history separate,TA 180 XI foundation,Mixed,D10; S02 Appendix IV p. 215,Present report draws a source-critical inference from the catalogue context.,The precise deposition process was not independently reconstructed.,MODERATE,A foundation find alone cannot identify its depositors as the contract’s household.,Document provenance and lived residence are different evidentiary questions.,NO DESIGN DECISION
